Subject,Story,Level,Context,Prediction,T_val
27,cake,4,Non-Social,50,50
27,cake,5,Non-Social,70,70
28,cake,1,Non-Social,40,10
28,cake,2,Non-Social,40,20
28,cake,3,Non-Social,45,35
28,cake,4,Non-Social,60,50
28,cake,5,Non-Social,80,70
29,cake,1,Non-Social,15,10
29,cake,2,Non-Social,25,20
29,cake,3,Non-Social,40,35
29,cake,4,Non-Social,50,50
29,cake,5,Non-Social,72,70
30,cake,1,Non-Social,30,10
30,cake,2,Non-Social,30,20
30,cake,3,Non-Social,40,35
30,cake,4,Non-Social,60,50
30,cake,5,Non-Social,80,70
31,cake,1,Non-Social,40,10
31,cake,2,Non-Social,20,20
31,cake,3,Non-Social,45,35
31,cake,4,Non-Social,50,50
31,cake,5,Non-Social,75,70
32,cake,1,Non-Social,20,10
32,cake,2,Non-Social,25,20
32,cake,3,Non-Social,40,35
32,cake,4,Non-Social,60,50
32,cake,5,Non-Social,90,70
33,cake,1,Non-Social,15,10
33,cake,2,Non-Social,25,20
33,cake,3,Non-Social,35,35
33,cake,4,Non-Social,50,50
33,cake,5,Non-Social,70,70
34,cake,1,Non-Social,40,10
34,cake,2,Non-Social,40,20
34,cake,3,Non-Social,40,35
34,cake,4,Non-Social,60,50
34,cake,5,Non-Social,75,70
35,cake,1,Non-Social,20,10
35,cake,2,Non-Social,30,20
35,cake,3,Non-Social,40,35
35,cake,4,Non-Social,60,50
35,cake,5,Non-Social,80,70
36,cake,1,Non-Social,10,10
36,cake,2,Non-Social,20,20
36,cake,3,Non-Social,35,35
36,cake,4,Non-Social,50,50
36,cake,5,Non-Social,70,70
37,cake,1,Non-Social,30,10
37,cake,2,Non-Social,30,20
37,cake,3,Non-Social,45,35
37,cake,4,Non-Social,60,50
37,cake,5,Non-Social,100,70
38,cake,1,Non-Social,25,10
38,cake,2,Non-Social,25,20
38,cake,3,Non-Social,45,35
38,cake,4,Non-Social,60,50
38,cake,5,Non-Social,90,70
39,cake,1,Non-Social,10,10
39,cake,2,Non-Social,30,20
39,cake,3,Non-Social,45,35
39,cake,4,Non-Social,60,50
39,cake,5,Non-Social,80,70
40,cake,1,Non-Social,40,10
40,cake,2,Non-Social,40,20
40,cake,3,Non-Social,40,35
40,cake,4,Non-Social,60,50
40,cake,5,Non-Social,80,70
41,cake,1,Non-Social,50,10
41,cake,2,Non-Social,50,20
41,cake,3,Non-Social,50,35
41,cake,4,Non-Social,60,50
41,cake,5,Non-Social,90,70
42,cake,1,Non-Social,50,10
42,cake,2,Non-Social,50,20
42,cake,3,Non-Social,50,35
