"session","created","modified","ended","expired","pPROLIFIC_PID","pSTUDY_ID","pSESSION_ID","cakeL1Response","cakeL2Response","cakeL3Response","cakeL4Response","cakeL5Response","movieL1Response","movieL2Response","movieL3Response","movieL4Response","movieL5Response","podcastL1Response","podcastL2Response","podcastL3Response","podcastL4Response","podcastL5Response","attentionCheck"
"-NwVKp6b2J6YHYOW0LwvlHUBKEmoPmqX1jiB71ZLBs5qjxPigVBRjuewinNYpQ7F","2022-01-15 23:54:57","2022-01-16 00:00:08","2022-01-16 00:00:08","","5ab0b347e1546900019b16aa","61e19414185ab41992e2afa7","61e350bd818f7d08a775d87d","50","50","50","60","90","120","120","120","120","120","30","45","60","90","125","4"
"Tw0LAK8Fg9U4gb93WwRJdrPm145G-qbF-2BT0Vky6KF4MDbRvczE4sb1zzjf4in9","2022-01-15 23:54:58","2022-01-16 00:00:23","2022-01-16 00:00:23","","589295bdd8cdf10001d885b2","61e19414185ab41992e2afa7","61e350bb5f46543e9d012634","50","50","50","50","80","90","90","90","90","110","25","45","80","80","125","4"
"wOhhCDVbLwhKFEMhFSOQFHDXKwapjiIb3eCiV9TgpWpG2iUQxfdDlx9OlFgzy71f","2022-01-15 23:54:58","2022-01-16 00:00:42","2022-01-16 00:00:42","","60d20236448971833317b4a9","61e19414185ab41992e2afa7","61e350bef0683ab00ebcc03a","30","30","60","60","90","120","120","120","130","130","240","240","240","240","240","4"
"iW9Dath-qB4TqgNUFLTn_h8s-iPA9HyuAlCr7eqhhUL81N-Pv46ZbnoUiXkd1P2K","2022-01-15 23:54:58","2022-01-16 00:26:58","2022-01-16 00:26:58","","60eee201a7ffc5b0e034e73e","61e19414185ab41992e2afa7","61e350bfec13c082784d97bf","25","25","40","60","75","90","90","90","90","130","30","60","60","90","110","4"
"Sgb61_AFsdkS5tU0ZAI-VgQxzhdKrXKRq4NL1iGShsEsZoItLQyaoGgK-rcFcmAp","2022-01-15 23:54:58","2022-01-15 23:59:11","2022-01-15 23:59:11","","5c37cfa819ceb400010c0979","61e19414185ab41992e2afa7","61e350be383ac5a8aa034247","10","25","40","60","80","32","50","65","90","120","25","45","60","120","120","4"
"ZwzYLOFjT7jkMZ8-WZrhYgZfGSRknre1MbHtT1Vd1aVzZFqs60i5iaEpaZ2fnFIF","2022-01-15 23:54:59","2022-01-15 23:59:04","2022-01-15 23:59:04","","5e66c226df642c0a74ef7b68","61e19414185ab41992e2afa7","61e350bbdbb888cdb4953ad2","20","30","40","50","90","120","120","120","120","120","90","60","60","90","120","4"
"wD7bF2Yl4CN42Wv-lwfpIK3oJOdcrqLSb9XbNogflIyHud8CIj8S36JmPlE7offM","2022-01-15 23:54:59","2022-01-15 23:59:11","2022-01-15 23:59:11","","61377e491956e87654c9fd95","61e19414185ab41992e2afa7","61e350bfc4ca3b79487e6df1","15","20","40","60","80","30","50","60","85","120","60","60","90","120","120","4"
"D1FG2GGaJRM24CZ4-duzT44NuPnJ6PiWGwQtFZJRc6NwCbuY6f7D2_hACHSDJyBc","2022-01-15 23:54:59","2022-01-16 00:01:03","2022-01-16 00:01:03","","5e8f838c20456a27c2a5837d","61e19414185ab41992e2afa7","61e350be8bd6e2acb44b16b3","70","70","80","100","100","90","100","120","140","150","30","50","60","90","120","4"
"tyf8PhRdTmtw4Qk4AAvhWD5bFmiImqkJr8sJDQ5eKEGxvckeTfwE6bD6m6m7LviE","2022-01-15 23:54:59","2022-01-15 23:58:01","2022-01-15 23:58:01","","6072e4e6236de7ca7d4bf06e","61e19414185ab41992e2afa7","61e350bd36feedbdac56be72","18","24","38","60","90","120","120","120","120","120","45","45","58","90","120","4"
"GUKmy5n7fIeQbi7kDmU8Om9tgPtjLDaAzOlTilbcnySi8F-lnygnCaXZdxL3Yaz_","2022-01-15 23:54:59","2022-01-16 00:00:02","2022-01-16 00:00:02","","601b4c26e9531b5069920cc9","61e19414185ab41992e2afa7","61e350bf17087fc16134a476","10","21","37","50","72","62","78","93","111","135","15","55","70","90","123","4"
