"session","created","modified","ended","expired","pPROLIFIC_PID","pSTUDY_ID","pSESSION_ID","calculate_cake","cakeL1C1R0","cakeL1C2R0","cakeL1C1R1","cakeL1C2R1","cakeL2C1R0","cakeL2C2R0","cakeL2C1R1","cakeL2C2R1","cakeL3C1R0","cakeL3C2R0","cakeL3C1R1","cakeL3C2R1","cakeL4C1R0","cakeL4C2R0","cakeL4C1R1","cakeL4C2R1","cakeL5C1R0","cakeL5C2R0","cakeL5C1R1","cakeL5C2R1","calculate_movie","movieL1C1R0","movieL1C2R0","movieL1C1R1","movieL1C2R1","movieL2C1R0","movieL2C2R0","movieL2C1R1","movieL2C2R1","movieL3C1R0","movieL3C2R0","movieL3C1R1","movieL3C2R1","movieL4C1R0","movieL4C2R0","movieL4C1R1","movieL4C2R1","movieL5C1R0","movieL5C2R0","movieL5C1R1","movieL5C2R1","calculate_podcast","podcastL1C1R0","podcastL1C2R0","podcastL1C1R1","podcastL1C2R1","podcastL2C1R0","podcastL2C2R0","podcastL2C1R1","podcastL2C2R1","podcastL3C1R0","podcastL3C2R0","podcastL3C1R1","podcastL3C2R1","podcastL4C1R0","podcastL4C2R0","podcastL4C1R1","podcastL4C2R1","podcastL5C1R0","podcastL5C2R0","podcastL5C1R1","podcastL5C2R1","attentionCheck","feedback"
"V5wU6jpYWGE70TcKI9Yt6Cz1xu9ZXQO9D2ww3UbTxK_IHxiMWD5nOjIilDdjrYyN","2021-12-07 23:08:24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C4SSy4QZh-eAY62uhpha9Nc-ysvRQptJQ4O4LMcWVn7hHeodcGTipvWPlUK75FU3","2021-12-08 18:43:53","2021-12-08 19:00:49","2021-12-08 19:00:49","","5eb873b5e444bd09c7be4fee","61ae940bf2e49b52274b6434","61b0eed6188fbd6ab94d6f49","[2,1]","","7","1","","","6","4","","","3","6","","","7","7","","","7","7","","[2,1]","","4","1","","","4","2","","","4","3","","","5","5","","","5","5","","[2,1]","","5","3","","","3","5","","","2","6","","","1","7","","","1","7","","4",""
"sFJRcJ3lP8EKUE6j18Wc8Nh-lq2Utr1svyxrI7MB2PdxrK7XNj--wu5FkYud3oN3","2021-12-08 18:43:57","2021-12-08 18:54:08","2021-12-08 18:54:08","","6009c2eda21be3026447d80e","61ae940bf2e49b52274b6434","61b0eedb2fa54cf13b58097b","[2,1]","","2","5","","","3","6","","","3","7","","","4","7","","","4","7","","[1,2]","2","","","2","3","","","2","4","","","3","6","","","5","7","","","6","[2,1]","","5","4","","","4","5","","","3","6","","","2","7","","","2","7","","4",""
"r-rkoEZwgA_y87jc2Wnzhsyy1vEJQUjchFoGRAxFFj6Z1okfl0bJ6nb1YgyvN85b","2021-12-08 18:44:02","2021-12-08 18:51:50","2021-12-08 18:51:50","","60feedfa699755f9f5ac96cb","61ae940bf2e49b52274b6434","61b0eedd79dcb3faf4c2de45","[2,1]","","2","6","","","3","6","","","4","6","","","5","6","","","6","6","","[2,1]","","2","2","","","1","1","","","2","2","","","2","2","","","1","1","","[1,2]","5","","","4","5","","","5","4","","","3","2","","","3","2","","","1","4","No"
"0HJDRp05Gd6UNMuaoNxKJgNhpd4ud7g1CrPWHY5Uwd1BEMsSTBEeJuOGe1XVOtwZ","2021-12-08 18:44:04","2021-12-08 18:53:15","2021-12-08 18:53:15","","60b0ba56f6a2244bbae05690","61ae940bf2e49b52274b6434","61b0eed8165a9271c11d83d8","[1,2]","5","","","4","5","","","4","6","","","4","7","","","6","7","","","6","[1,2]","1","","","2","2","","","3","3","","","4","4","","","5","5","","","6","[2,1]","","6","4","","","3","5","","","1","1","","","1","1","","","1","1","","4","the questions were too general"
"IiwaVCUPu3REvKmCptvpboGFyRDa8jfHUCXntQL1YNu88YyXAuuF-OkvJznjzEUn","2021-12-08 18:44:09","2021-12-08 18:48:09","2021-12-08 18:48:10","","5e1842435b1c591274aef230","61ae940bf2e49b52274b6434","61b0eee6ab740711be8d6030","[2,1]","","4","5","","","4","5","","","4","5","","","4","5","","","4","5","","[1,2]","3","","","3","3","","","3","2","","","2","2","","","2","2","","","2","[1,2]","1","","","7","1","","","7","1","","","7","1","","","7","1","","","7","4",""
"YcejapCnGI-imTqv1u2kpsJld7OCfhDimqAHxod1K97XfhV2qRGuJFzIK3Hae4xa","2021-12-08 18:44:19","2021-12-08 18:48:01","2021-12-08 18:48:01","","608d326c7976cb402fdfc56f","61ae940bf2e49b52274b6434","61b0eeefd7299ed5a28b2cc1","[2,1]","","5","6","","","4","5","","","2","5","","","6","6","","","7","7","","[2,1]","","2","2","","","2","3","","","1","2","","","1","1","","","1","1","","[1,2]","1","","","6","3","","","6","4","","","6","7","","","6","7","","","6","4","No"
"gZp5gT0fidz35a4HMK7BVg6bDOzqPlRVoAvS0AwA7Q1wwtCFgiTLt-j4UJl3kuD3","2021-12-08 18:44:20","2021-12-08 18:48:48","2021-12-08 18:48:48","","6078a6933f52f5c3d50f6f47","61ae940bf2e49b52274b6434","61b0eef02e33125b2667f8ec","[1,2]","2","","","1","3","","","2","4","","","3","5","","","5","7","","","5","[2,1]","","3","3","","","4","3","","","5","5","","","5","4","","","7","5","","[2,1]","","5","1","","","4","3","","","4","6","","","4","7","","","4","7","","4",""
"S07SeKrjEBHXUQCLKQ8vXsoQbEUq3txHDenveFOQNWXg7DY6ehr0R91C5QVQH7lH","2021-12-08 18:44:31","2021-12-08 18:51:47","2021-12-08 18:51:47","","616ab94f87c0e3477be975e9","61ae940bf2e49b52274b6434","61b0eeef43032285a43d29d0","[2,1]","","1","7","","","2","7","","","2","7","","","3","7","","","3","7","","[1,2]","4","","","5","3","","","1","2","","","1","2","","","2","2","","","1","[1,2]","4","","","5","3","","","4","2","","","3","1","","","1","2","","","2","4","no none everything was clear"
"ELhaUVD_tjG30o3lHCCmyG1DH2UbcTKV8sgrtKcz6VrWUYavdAwwnX1tmSrDqO89","2021-12-08 18:44:55","2021-12-08 18:48:08","2021-12-08 18:48:08","","5ff3aff59f4b9ea23608dc04","61ae940bf2e49b52274b6434","61b0eeea71f8c78e9ebdfacc","[1,2]","4","","","5","3","","","5","4","","","5","5","","","4","5","","","4","[2,1]","","3","2","","","3","1","","","2","2","","","2","2","","","2","2","","[1,2]","3","","","2","6","","","2","5","","","2","4","","","2","3","","","2","4","None"
"fkXCmCGNDXjpogltsiEmJ9bEYYqCJQTuC88SU2I-4pUZRd0AlVAC1DHWFWujBoGX","2021-12-08 18:45:14","2021-12-08 18:51:07","2021-12-08 18:51:07","","611e55f094dcf42e2301f659","61ae940bf2e49b52274b6434","61b0eee8ab740711be8d6032","[2,1]","","6","4","","","6","5","","","5","6","","","4","6","","","4","5","","[1,2]","1","","","1","1","","","1","2","","","2","4","","","3","4","","","4","[1,2]","5","","","2","6","","","1","2","","","1","1","","","1","1","","","1","4","I had no issues completing the survey."
"-SmyIhvVyDZEOaOWKVfktiHtiZTSU_ahxHDBRUVgDPIKKCWeK-MEtPh8Z5dds550","2021-12-08 18:50:38","","","","6065dcc8bc4a1f1663e4d13b","61ae940bf2e49b52274b6434","61b0f06bf66e075bb03a1b9a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P_5DB_hawMpnPs1tHpUMr1eWbAtlYBDDY0xxvWKWyOR0tn6ezC-JLA2-PeHR7bQa","2021-12-08 18:50:40","2021-12-08 18:54:39","2021-12-08 18:54:39","","612a6d453bd82d3eb74febe9","61ae940bf2e49b52274b6434","61b0f067147a1a112bf1433a","[2,1]","","5","3","","","5","5","","","4","6","","","4","7","","","5","7","","[1,2]","1","","","1","2","","","1","2","","","1","3","","","2","3","","","2","[2,1]","","3","2","","","3","2","","","4","2","","","3","1","","","1","1","","4","No, not at all"
"KTPVKIYqNqtZlDIdkzAS17uOIb6TX354s2NQHPTvYTmi5uZP8_Y3QZ4mEOEepe5z","2021-12-08 18:50:40","2021-12-08 18:54:20","2021-12-08 18:54:20","","613d25aae4f98b5e481fca50","61ae940bf2e49b52274b6434","61b0f06db524d85faf0d9640","[1,2]","4","","","5","5","","","4","6","","","5","2","","","3","1","","","1","[1,2]","4","","","3","2","","","2","3","","","2","1","","","1","1","","","1","[2,1]","","3","2","","","1","1","","","1","1","","","1","1","","","1","1","","4",""
"UkOoDbtCcpr1xid3JYTbAYZoCDD5TEEOHOPCKbuN6AmvWkPtvbJpNcVXXwmpXLg3","2021-12-08 18:50:43","2021-12-08 18:53:10","2021-12-08 18:53:10","","5cc2e2579402ad0018c3a3c1","61ae940bf2e49b52274b6434","61b0f0712e1f06d991ef4fb1","[2,1]","","1","1","","","1","3","","","1","5","","","5","6","","","7","7","","[1,2]","1","","","7","2","","","6","3","","","5","3","","","5","7","","","1","[1,2]","7","","","6","1","","","5","1","","","6","1","","","6","1","","","6","4",""
"C8eIr2oY5b128bOInMg7fjJT8jOen-LI0EFZLNWChdYYEZ0nJbHFYFWMJVeoBM22","2021-12-08 18:50:43","2021-12-08 18:56:47","2021-12-08 18:56:47","","5e7bac586690421ca2609164","61ae940bf2e49b52274b6434","61b0f06f92f1099cf8d25ee0","[2,1]","","2","2","","","3","3","","","3","3","","","3","3","","","2","2","","[2,1]","","2","1","","","2","2","","","3","3","","","4","4","","","4","4","","[1,2]","3","","","3","3","","","4","4","","","4","5","","","5","5","","","6","4",""
"g0Nbw0Zy1V7dFPVQjGGFDBWPSSAwtU4OOwDTvsFmXewBd50Z5PNufBbcLUvRaH5L","2021-12-08 18:50:43","2021-12-08 18:56:27","2021-12-08 18:56:27","","6165b90dde7b84145bb9a1b8","61ae940bf2e49b52274b6434","61b0f07194ca41ffca239714","[2,1]","","3","1","","","2","1","","","1","1","","","1","1","","","1","1","","[1,2]","3","","","3","3","","","3","2","","","2","5","","","5","6","","","6","[1,2]","4","","","3","5","","","4","6","","","4","7","","","4","7","","","4","4","Nothing"
"l8zO7uuNHCv6drJFSHysHB_kcLTSxoInBCv5acmIr1q5Xjth_S-7KzTNSYBmPRfg","2021-12-08 18:50:44","2021-12-08 19:01:26","2021-12-08 19:01:26","","60fc3c70d1fedd7de4cb534e","61ae940bf2e49b52274b6434","61b0f0723569c6045e373d98","[1,2]","4","","","4","4","","","5","3","","","5","5","","","5","5","","","6","[2,1]","","1","1","","","1","1","","","1","1","","","3","4","","","4","5","","[1,2]","4","","","5","3","","","6","4","","","4","7","","","2","7","","","1","4",""
"D7kYBTwaQvu02iYPyaVORK1O1HlxUA2DMaW_oswrZx6ZSGf3COZiepqmxrSdWes2","2021-12-08 18:50:45","2021-12-08 18:54:42","2021-12-08 18:54:42","","5f90c1832cf6481b25307b46","61ae940bf2e49b52274b6434","61b0f072af7dd7b0aeebf701","[2,1]","","3","7","","","4","7","","","4","7","","","4","7","","","4","7","","[1,2]","2","","","2","3","","","3","4","","","4","5","","","5","6","","","6","[1,2]","2","","","5","3","","","5","5","","","6","6","","","6","7","","","7","4",""
"SviRWtm7SwieZowroiOyS934Wuff7dGt9yDkWOAm6IOYJBzS9Y2T8nv6-22RY2AM","2021-12-08 18:50:45","2021-12-08 18:54:17","2021-12-08 18:54:17","","613fde254759385b5d464ee5","61ae940bf2e49b52274b6434","61b0f06e673e470e32b4512b","[2,1]","","5","2","","","5","2","","","4","4","","","4","6","","","2","7","","[2,1]","","7","1","","","6","1","","","5","2","","","4","3","","","4","4","","[1,2]","2","","","4","5","","","3","6","","","2","7","","","2","7","","","3","4","Not at all, i just found some of the examples a little bit weird."
"IT5uJNEdbHdtqMo4UdUZTUpSxDVH7egkGNCF9aYjxrwYdmF21aJKk61qvwcKJFGX","2021-12-08 18:50:45","2021-12-08 19:04:05","2021-12-08 19:04:05","","611bfe06f934af0db003da09","61ae940bf2e49b52274b6434","61b0f0735aa249fd933e38a8","[2,1]","","5","6","","","6","6","","","2","3","","","3","3","","","2","2","","[2,1]","","1","2","","","1","3","","","1","4","","","1","5","","","1","5","","[2,1]","","3","3","","","3","5","","","6","5","","","5","6","","","5","5","","4",""
"IOHskFKWHqIgfpVSlLejQESqoCP9zj0SU5gvrl_jaolRmCqhVmEC1LLS0K_msEfe","2021-12-08 18:50:46","2021-12-08 18:58:15","2021-12-08 18:58:15","","5da582ec7fae68001792bd14","61ae940bf2e49b52274b6434","61b0f0734f84936a85a0733c","[2,1]","","3","1","","","1","2","","","2","2","","","3","7","","","7","7","","[2,1]","","2","7","","","2","7","","","3","7","","","4","6","","","1","6","","[1,2]","2","","","2","3","","","3","7","","","7","7","","","7","7","","","7","4",""
