Subject,Story,Level,Context,Rating,TVal
34,cake,4,1,1.0,50.0
34,cake,4,2,6.0,50.0
35,cake,4,1,2.0,50.0
35,cake,4,2,2.0,50.0
36,cake,4,1,7.0,50.0
36,cake,4,2,7.0,50.0
37,cake,4,1,7.0,50.0
37,cake,4,2,7.0,50.0
38,cake,4,1,6.0,50.0
38,cake,4,2,6.0,50.0
39,cake,4,1,7.0,50.0
39,cake,4,2,5.0,50.0
40,cake,4,1,7.0,50.0
40,cake,4,2,7.0,50.0
41,cake,4,1,7.0,50.0
41,cake,4,2,7.0,50.0
42,cake,4,1,5.0,50.0
42,cake,4,2,5.0,50.0
43,cake,4,1,1.0,50.0
43,cake,4,2,1.0,50.0
44,cake,4,1,4.0,50.0
44,cake,4,2,3.0,50.0
45,cake,4,1,7.0,50.0
45,cake,4,2,6.0,50.0
46,cake,4,1,7.0,50.0
46,cake,4,2,6.0,50.0
47,cake,4,1,5.0,50.0
47,cake,4,2,5.0,50.0
48,cake,4,1,6.0,50.0
48,cake,4,2,2.0,50.0
49,cake,4,1,7.0,50.0
49,cake,4,2,5.0,50.0
50,cake,4,1,7.0,50.0
50,cake,4,2,6.0,50.0
51,cake,4,1,3.0,50.0
51,cake,4,2,3.0,50.0
52,cake,4,1,1.0,50.0
52,cake,4,2,1.0,50.0
53,cake,4,1,7.0,50.0
53,cake,4,2,3.0,50.0
54,cake,4,1,7.0,50.0
54,cake,4,2,1.0,50.0
55,cake,4,1,7.0,50.0
55,cake,4,2,1.0,50.0
56,cake,4,1,6.0,50.0
56,cake,4,2,4.0,50.0
57,cake,4,1,5.0,50.0
57,cake,4,2,4.0,50.0
58,cake,4,1,7.0,50.0
58,cake,4,2,4.0,50.0
59,cake,4,1,5.0,50.0
59,cake,4,2,5.0,50.0
60,cake,4,1,4.0,50.0
60,cake,4,2,2.0,50.0
61,cake,4,1,5.0,50.0
61,cake,4,2,5.0,50.0
0,cake,5,1,7.0,70.0
0,cake,5,2,7.0,70.0
1,cake,5,1,7.0,70.0
1,cake,5,2,4.0,70.0
2,cake,5,1,6.0,70.0
2,cake,5,2,6.0,70.0
3,cake,5,1,7.0,70.0
3,cake,5,2,6.0,70.0
4,cake,5,1,5.0,70.0
4,cake,5,2,4.0,70.0
5,cake,5,1,7.0,70.0
5,cake,5,2,7.0,70.0
6,cake,5,1,7.0,70.0
6,cake,5,2,5.0,70.0
7,cake,5,1,7.0,70.0
7,cake,5,2,3.0,70.0
8,cake,5,1,5.0,70.0
8,cake,5,2,4.0,70.0
9,cake,5,1,5.0,70.0
9,cake,5,2,4.0,70.0
10,cake,5,1,7.0,70.0
10,cake,5,2,5.0,70.0
11,cake,5,1,1.0,70.0
11,cake,5,2,1.0,70.0
12,cake,5,1,7.0,70.0
12,cake,5,2,7.0,70.0
13,cake,5,1,2.0,70.0
13,cake,5,2,2.0,70.0
14,cake,5,1,1.0,70.0
14,cake,5,2,1.0,70.0
15,cake,5,1,5.0,70.0
15,cake,5,2,6.0,70.0
16,cake,5,1,7.0,70.0
16,cake,5,2,4.0,70.0
17,cake,5,1,7.0,70.0
17,cake,5,2,2.0,70.0
18,cake,5,1,2.0,70.0
18,cake,5,2,2.0,70.0
19,cake,5,1,7.0,70.0
19,cake,5,2,7.0,70.0
20,cake,5,1,6.0,70.0
20,cake,5,2,6.0,70.0
21,cake,5,1,6.0,70.0
21,cake,5,2,4.0,70.0
22,cake,5,1,7.0,70.0
22,cake,5,2,7.0,70.0
23,cake,5,1,7.0,70.0
23,cake,5,2,7.0,70.0
24,cake,5,1,5.0,70.0
24,cake,5,2,5.0,70.0
25,cake,5,1,7.0,70.0
25,cake,5,2,1.0,70.0
26,cake,5,1,2.0,70.0
26,cake,5,2,2.0,70.0
27,cake,5,1,7.0,70.0
27,cake,5,2,5.0,70.0
28,cake,5,1,7.0,70.0
28,cake,5,2,7.0,70.0
29,cake,5,1,1.0,70.0
29,cake,5,2,1.0,70.0
30,cake,5,1,7.0,70.0
30,cake,5,2,5.0,70.0
31,cake,5,1,1.0,70.0
31,cake,5,2,1.0,70.0
32,cake,5,1,6.0,70.0
32,cake,5,2,6.0,70.0
33,cake,5,1,7.0,70.0
33,cake,5,2,6.0,70.0
34,cake,5,1,1.0,70.0
34,cake,5,2,7.0,70.0
35,cake,5,1,1.0,70.0
35,cake,5,2,1.0,70.0
36,cake,5,1,7.0,70.0
36,cake,5,2,7.0,70.0
37,cake,5,1,7.0,70.0
37,cake,5,2,7.0,70.0
38,cake,5,1,4.0,70.0
38,cake,5,2,2.0,70.0
39,cake,5,1,7.0,70.0
39,cake,5,2,7.0,70.0
40,cake,5,1,7.0,70.0
40,cake,5,2,7.0,70.0
41,cake,5,1,7.0,70.0
41,cake,5,2,7.0,70.0
42,cake,5,1,6.0,70.0
42,cake,5,2,6.0,70.0
43,cake,5,1,1.0,70.0
43,cake,5,2,1.0,70.0
44,cake,5,1,3.0,70.0
44,cake,5,2,5.0,70.0
45,cake,5,1,7.0,70.0
45,cake,5,2,6.0,70.0
46,cake,5,1,7.0,70.0
46,cake,5,2,6.0,70.0
47,cake,5,1,6.0,70.0
47,cake,5,2,6.0,70.0
48,cake,5,1,7.0,70.0
48,cake,5,2,2.0,70.0
49,cake,5,1,7.0,70.0
49,cake,5,2,7.0,70.0
50,cake,5,1,7.0,70.0
50,cake,5,2,6.0,70.0
51,cake,5,1,3.0,70.0
51,cake,5,2,3.0,70.0
52,cake,5,1,1.0,70.0
52,cake,5,2,1.0,70.0
53,cake,5,1,7.0,70.0
53,cake,5,2,2.0,70.0
54,cake,5,1,7.0,70.0
54,cake,5,2,2.0,70.0
55,cake,5,1,7.0,70.0
55,cake,5,2,2.0,70.0
56,cake,5,1,7.0,70.0
56,cake,5,2,3.0,70.0
57,cake,5,1,6.0,70.0
57,cake,5,2,5.0,70.0
58,cake,5,1,7.0,70.0
58,cake,5,2,4.0,70.0
59,cake,5,1,5.0,70.0
59,cake,5,2,5.0,70.0
60,cake,5,1,4.0,70.0
60,cake,5,2,2.0,70.0
61,cake,5,1,5.0,70.0
61,cake,5,2,5.0,70.0
0,movie,1,1,1.0,30.0
0,movie,1,2,4.0,30.0
1,movie,1,1,2.0,30.0
1,movie,1,2,2.0,30.0
2,movie,1,1,2.0,30.0
2,movie,1,2,2.0,30.0
3,movie,1,1,1.0,30.0
3,movie,1,2,2.0,30.0
4,movie,1,1,3.0,30.0
4,movie,1,2,3.0,30.0
5,movie,1,1,2.0,30.0
5,movie,1,2,2.0,30.0
6,movie,1,1,3.0,30.0
6,movie,1,2,3.0,30.0
7,movie,1,1,4.0,30.0
7,movie,1,2,5.0,30.0
8,movie,1,1,2.0,30.0
8,movie,1,2,3.0,30.0
9,movie,1,1,1.0,30.0
9,movie,1,2,1.0,30.0
10,movie,1,1,1.0,30.0
10,movie,1,2,1.0,30.0
11,movie,1,1,4.0,30.0
11,movie,1,2,3.0,30.0
12,movie,1,1,1.0,30.0
12,movie,1,2,7.0,30.0
13,movie,1,1,1.0,30.0
13,movie,1,2,2.0,30.0
14,movie,1,1,3.0,30.0
14,movie,1,2,3.0,30.0
15,movie,1,1,1.0,30.0
15,movie,1,2,1.0,30.0
16,movie,1,1,2.0,30.0
16,movie,1,2,2.0,30.0
17,movie,1,1,1.0,30.0
17,movie,1,2,7.0,30.0
18,movie,1,1,2.0,30.0
18,movie,1,2,1.0,30.0
19,movie,1,1,7.0,30.0
19,movie,1,2,2.0,30.0
20,movie,1,1,3.0,30.0
20,movie,1,2,3.0,30.0
21,movie,1,1,1.0,30.0
21,movie,1,2,3.0,30.0
22,movie,1,1,2.0,30.0
22,movie,1,2,2.0,30.0
23,movie,1,1,1.0,30.0
23,movie,1,2,2.0,30.0
24,movie,1,1,1.0,30.0
24,movie,1,2,1.0,30.0
25,movie,1,1,1.0,30.0
25,movie,1,2,7.0,30.0
26,movie,1,1,4.0,30.0
26,movie,1,2,4.0,30.0
27,movie,1,1,2.0,30.0
27,movie,1,2,2.0,30.0
28,movie,1,1,1.0,30.0
28,movie,1,2,2.0,30.0
29,movie,1,1,2.0,30.0
29,movie,1,2,1.0,30.0
30,movie,1,1,1.0,30.0
30,movie,1,2,2.0,30.0
31,movie,1,1,2.0,30.0
31,movie,1,2,3.0,30.0
32,movie,1,1,1.0,30.0
32,movie,1,2,1.0,30.0
33,movie,1,1,1.0,30.0
33,movie,1,2,3.0,30.0
34,movie,1,1,3.0,30.0
34,movie,1,2,4.0,30.0
35,movie,1,1,6.0,30.0
35,movie,1,2,1.0,30.0
36,movie,1,1,1.0,30.0
36,movie,1,2,1.0,30.0
37,movie,1,1,1.0,30.0
37,movie,1,2,5.0,30.0
38,movie,1,1,2.0,30.0
38,movie,1,2,2.0,30.0
39,movie,1,1,4.0,30.0
39,movie,1,2,6.0,30.0
40,movie,1,1,1.0,30.0
40,movie,1,2,1.0,30.0
41,movie,1,1,1.0,30.0
41,movie,1,2,2.0,30.0
42,movie,1,1,1.0,30.0
42,movie,1,2,1.0,30.0
43,movie,1,1,3.0,30.0
43,movie,1,2,3.0,30.0
44,movie,1,1,2.0,30.0
44,movie,1,2,3.0,30.0
45,movie,1,1,2.0,30.0
45,movie,1,2,5.0,30.0
46,movie,1,1,2.0,30.0
46,movie,1,2,2.0,30.0
47,movie,1,1,6.0,30.0
47,movie,1,2,6.0,30.0
48,movie,1,1,2.0,30.0
48,movie,1,2,2.0,30.0
49,movie,1,1,1.0,30.0
49,movie,1,2,2.0,30.0
50,movie,1,1,2.0,30.0
50,movie,1,2,3.0,30.0
51,movie,1,1,3.0,30.0
51,movie,1,2,2.0,30.0
52,movie,1,1,4.0,30.0
52,movie,1,2,6.0,30.0
53,movie,1,1,1.0,30.0
53,movie,1,2,4.0,30.0
54,movie,1,1,1.0,30.0
54,movie,1,2,1.0,30.0
55,movie,1,1,1.0,30.0
55,movie,1,2,7.0,30.0
56,movie,1,1,1.0,30.0
56,movie,1,2,2.0,30.0
57,movie,1,1,3.0,30.0
57,movie,1,2,3.0,30.0
58,movie,1,1,2.0,30.0
58,movie,1,2,4.0,30.0
59,movie,1,1,2.0,30.0
59,movie,1,2,2.0,30.0
60,movie,1,1,2.0,30.0
60,movie,1,2,4.0,30.0
61,movie,1,1,1.0,30.0
61,movie,1,2,1.0,30.0
0,movie,2,1,2.0,45.0
0,movie,2,2,4.0,45.0
1,movie,2,1,3.0,45.0
1,movie,2,2,2.0,45.0
2,movie,2,1,1.0,45.0
2,movie,2,2,1.0,45.0
3,movie,2,1,2.0,45.0
3,movie,2,2,3.0,45.0
4,movie,2,1,3.0,45.0
4,movie,2,2,3.0,45.0
5,movie,2,1,3.0,45.0
5,movie,2,2,2.0,45.0
6,movie,2,1,3.0,45.0
6,movie,2,2,4.0,45.0
7,movie,2,1,3.0,45.0
7,movie,2,2,1.0,45.0
8,movie,2,1,1.0,45.0
8,movie,2,2,3.0,45.0
9,movie,2,1,1.0,45.0
9,movie,2,2,1.0,45.0
10,movie,2,1,2.0,45.0
10,movie,2,2,1.0,45.0
11,movie,2,1,2.0,45.0
11,movie,2,2,2.0,45.0
12,movie,2,1,2.0,45.0
12,movie,2,2,6.0,45.0
13,movie,2,1,2.0,45.0
13,movie,2,2,2.0,45.0
14,movie,2,1,3.0,45.0
14,movie,2,2,3.0,45.0
15,movie,2,1,1.0,45.0
15,movie,2,2,1.0,45.0
16,movie,2,1,3.0,45.0
16,movie,2,2,3.0,45.0
17,movie,2,1,1.0,45.0
17,movie,2,2,6.0,45.0
